# language: sv
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	En visuell CSV-redigerare för Notepad++
001	Om CSV Visual Editor
002	Kontakt: {0}
003	Kontakta utvecklaren {0}
004	Utvecklare: {0}
005	Utvecklingsversion
006	Gillar du CSV Visual Editor? Stöd projektet.\nGe det en stjärna på GitHub, dela din återkoppling eller kontakta utvecklaren för att bidra. Tack!
007	Gränssnittsspråk: {0}
008	Ingen associerad app kunde öppnas. Kontakt: {0}
009	Projektet på GitHub
010	Version: {0}
011	Version och bygge
012	{0} blockerades eftersom modellen för väntande ändringar ändrades. Ingen partiell ändring behölls.
013	{0} blockerades: rektanglarna i urklipp och markering har olika dimensioner.
014	{0} blockerades: målrektangeln sträcker sig utanför CSV-tabellen.
015	{0} blockerades: det finns ingen redigerbar målrektangel.
016	Kopierade {0} × {1} CSV-celler.
017	Kopiering/klippning blockerades: en markerad cell innehåller en tabb eller radbrytning som inte entydigt kan representeras som vanlig kalkylbladstext.
018	Kopiering kräver CSV-celler, inte markering av hela rader för borttagning.
019	Kopiering kräver en sammanhängande rektangulär markering av CSV-dataceller.
020	Klippte {0} celler till urklipp och tömde dem i den väntande redigeringssessionen. Tillämpa skriver tömningen till Notepad++.
021	Klippningen är klar; de markerade cellerna var redan tomma. Urklipp innehåller deras ursprungliga värden.
022	{0} är endast tillgängligt i redigeringsläge.
023	{0} är inte tillgängligt för den aktuella tabellen.
024	Inklistring blockerades: {0} Inga data ändrades.
025	Inklistringen är klar; alla målvärden var redan identiska.
026	Klistrade in {0} ändrade celler i den väntande redigeringssessionen. Tillämpa skriver dem till Notepad++.
027	{0} kräver en rektangel med CSV-celler, inte markering av hela rader för borttagning.
028	{0} kräver en sammanhängande rektangulär markering av CSV-dataceller.
029	Mål för {0} är inte tillgängliga utanför redigeringslägets stabila radmodell.
030	Redigeringen av den aktiva cellen kunde inte bekräftas före kopiering.
031	Redigeringen av den aktiva cellen kunde inte bekräftas. Korrigera värdet före {0}.
032	Urklipp innehåller inte celler som oformaterad text.
033	Windows urklipp är tillfälligt otillgängligt. Inga data ändrades.
034	Kopiera den markerade rektangeln med CSV-celler till Windows urklipp (Ctrl+C)
035	Kopiera de markerade CSV-cellerna och töm dem i den väntande redigeringssessionen (Ctrl+X)
036	Klistra in kalkylbladsceller i den markerade CSV-cellen eller rektangeln (Ctrl+V)
037	Förhandsgranska textersättning, borttagning av yttre blanktecken eller ändring av skiftläge i väntande CSV-redigeringar
038	Markera den aktuella CSV-cellen eller raden i källbufferten i Notepad++
039	Källa
040	Omvandla
041	Om
042	Tillämpa
043	Stigande
044	Avbryt
045	Stäng
046	Kolumn
047	Kopiera
048	Klipp ut
049	Fallande
050	Redigera
051	Avsluta redigering
052	Matcha skiftläge
053	Tal
054	Ursprunglig ordning
055	Klistra in
056	Förhandsgranska
057	Uppdatera
058	Rader
059	Tabell
060	Text
061	Värde
062	Kolumnsammanfattning: antal, unika värden, numeriskt intervall och vanliga värden i den aktuella vyn.
063	Kolumnsammanfattning kräver en färdig skrivskyddad tabell. Avsluta redigeringsläget först.
064	Filtrera och sortera: kombinera kolumnregler och text-/numeriska sorteringsnivåer. Endast vyn; CSV ändras inte.
065	Filtrera och sortera: kombinera kolumnregler och upp till tre text-/numeriska sorteringsnivåer. Endast vyn.
066	Filtrera och sortera: {0} villkor, {1} sorteringsnivåer. Återställ vy rensar alla regler.
067	Filtrering och sortering kräver en färdig skrivskyddad tabell. Avsluta redigeringsläget först.
068	Diagnostik (0)
069	0 ändringar
070	Lägg till villkor
071	Lägg till sorteringsnivå
072	Tillämpa vy
073	Skiftläge
074	Textjämförelse med skillnad på stora och små bokstäver. Mellanslag i värden behandlas bokstavligt.
075	Kontrollera reglerna: {0}
076	Villkor
077	{0} / 8 villkor; {1} / 3 sorteringsnivåer. Förhandsgranska för att kontrollera matchande rader.
078	Innehåller
079	Innehåller inte
080	Är inte lika med
081	Tom = noll tecken. Endast blanktecken = en icke-tom följd av mellanslag/tabbar/radbrytningar.\nTal använder decimalpunkt (-12.5), utan gruppering eller exponenter; precisionen måste vara exakt.
082	Slutar med
083	Är lika med
084	Filtervärde
085	Filter
086	Är tom
087	Är inte tom
088	Är inte endast blanktecken
089	Är endast blanktecken
090	Bokstavlig text, inklusive mellanslag. Numeriska regler kräver ett exakt decimaltal med punkt.
091	Matcha ALLA villkor
092	Matcha VALFRITT villkor
093	Tal =
094	Tal >
095	Tal >=
096	Tal <
097	Tal <=
098	Tal (decimal)
099	Förhandsgranskning: {0:N0} av {1:N0} visade rader. CSV oförändrad.
100	Ta bort villkor
101	Ta bort sorteringsnivå
102	Återställ regler
103	Reglerna tar även hänsyn till den aktuella sökningen. Avbryt behåller den aktiva vyn.
104	Sortering
105	Börjar med
106	Text: ordinal ordning utan skillnad på stora och små bokstäver. Tal: exakta decimaler; ogiltiga/tomma värden sist.\nLika nycklar behåller källordningen. Ta bort alla nivåer för att återställa källordningen.
107	Projektionen är begränsad; rader som inte visas ingår inte. 
108	Filtrera och sortera
109	Översta nivån har företräde; senare nivåer avgör likheter. Högst 3.
110	Värde (bokstavligt, inklusive mellanslag)
111	Endast vyn — CSV-värden och källordning förblir oförändrade. {0:N0} visade rader.\n
112	Tillämpning blockeras eftersom {0} inte har någon uttryckligen stödd kodningsprofil. Innehållet i redigeraren ändrades inte.
113	Tillämpning blockeras eftersom strikt kodningsvalidering för {0} inte gav en exakt tur-och-retur-konvertering. Innehållet i redigeraren ändrades inte.
114	Tillämpning blockeras eftersom den väntande ersättningen inte kan representeras exakt i {0}. Inga ersättningstecken användes och redigerarens innehåll ändrades inte.
115	Tillämpning är ännu inte aktiverad för {0}. Redigerarens innehåll ändrades inte. Skrivning är endast aktiverad för UTF-8 (65001) och Windows-1250 (1250), efter förlustfri validering. Använd Återställ alla eller konvertera dokumentet till UTF-8 i Notepad++ och öppna redigeringsläget igen.
116	Uppdatering är inaktiverad i redigeringsläge. Tillämpa eller återställ först alla väntande ändringar.
117	Scintilla-kodsida {0}
118	Det aktiva dokumentet är {0:N0} byte. Den aktuella säkra gränsen för ögonblicksbilden är {1:N0} byte.
119	Det aktiva Notepad++-dokumentet kunde inte läsas. Redigerarens innehåll ändrades inte.
120	Resultatet från Tillämpa är inte en kodningsblockerad status.
121	Bakgrundsbygget av tabellen avslutades utan resultat.
122	CSV-ändringarna tillämpades, men föregående markörposition eller markering kunde inte återställas. Hela dokumentändringen kan fortfarande ångras som en enda åtgärd.
123	redigerarens aktuella kodsida
124	Redigerarbufferten kunde inte omvandlas till en visuell tabell. Välj en avgränsare uttryckligen eller uppdatera efter att dokumentet har korrigerats.
125	Tabellbygget returnerade ett ofullständigt resultat.
126	&Om
127	&Rensa sökning
128	&CSV
129	&Avgränsare
130	&Redigera
131	Esc i sökningen
132	&Sök i tabell
133	&Rubrik
134	&Nästa matchande cell
135	&Föregående matchande cell
136	Återställ vy: rensa sökning, kolumnvillkor och all sortering.
137	&Sökning
138	Sök&kolumn
139	Visa mellanslag: små fyllda orange punkter. Endast visning; CSV-värden ändras inte.
140	Visa &tabell
141	&Sortera efter
142	&Tabell
143	&Visa
144	Ett filtervärde får innehålla högst 4,096 tecken.
145	ALLA
146	En inledande byteordningsmarkering utelämnades från det första fältet.
147	VALFRITT
148	Ett citattecken förekom i ett fält som inte var omgivet av citattecken.
149	Raderna i urklipp måste bilda en enda rektangulär cellmatris.
150	Diagnostikkod: {0}.
151	Varje sorteringsnivå måste använda en annan kolumn.
152	Fel
153	hög
154	Information
155	låg
156	medel
157	Ingen av de avgränsare som stöds gav en tillräckligt tillförlitlig struktur med flera fält.
158	ingen
159	En visuell rad skulle kräva {0:N0} celler, vilket överskrider den aktuella totalgränsen {1:N0}. Inga kolumner doldes.
160	Posten har {0} fält; {1} förväntades baserat på det vanligaste antalet i urvalet.
161	Mellanslag: {0}; inledande: {1}; avslutande: {2}. Längd: {3} UTF-16-enheter.\nOrange punkter markerar faktiska mellanslag. Visningsavståndet ökas för läsbarhet; CSV-tecken ändras inte. Antalen inledande och avslutande mellanslag överlappar i en cell som bara innehåller mellanslag.
162	Cellmatrisen i urklipp överskrider den säkra inklistringsgränsen.
163	Urklipp innehåller ett kontrolltecken som inte stöds.
164	Urklipp innehåller fler kolumner än redigeraren säkert kan klistra in.
165	Urklipp innehåller fler rader än redigeraren säkert kan klistra in.
166	Texten i urklipp överskrider den säkra gränsen på 16 Mi UTF-16-teckenenheter.
167	Det sista citerade fältet stängdes inte före textens slut.
168	Antalet fält skiljer sig från de andra posterna.
169	Åtgärden kunde inte slutföras. Kontrollera dokumentet, de markerade värdena och storleksgränserna.
170	Det tolkade dokumentet innehåller {0:N0} kolumner, vilket överskrider den visuella tabellens aktuella gräns på {1:N0}. Inga kolumner doldes.
171	Den föreslagna avgränsaren har låg tillförlitlighet. Kontrollera avgränsarinställningen.
172	Två avgränsarkandidater har liknande poäng. Kontrollera avgränsarinställningen.
173	Oväntade tecken följer efter ett avslutande citattecken.
174	okänd
175	Använd ett exakt decimaltal med punkt, till exempel -12.5. Gruppering, exponenter och avrundade värden stöds inte.
176	Använd högst åtta filtervillkor som inte är null.
177	Använd högst tre sorteringsnivåer som inte är null.
178	Visningsreglerna hänvisar till en kolumn utanför den aktuella tabellen.
179	Varning
180	Kolumnsammanfattning
181	Filtrera och sortera
182	Öppna visuell tabell
183	Uppdatera tabell
184	ny:{0}
185	ny:{0} *
186	Markera
187	Markera hela rader för borttagning
188	Logisk källpost eller väntande strukturell rad
189	Kolumnen med radindikatorer kunde inte identifieras.
190	Raden måste tillhöra en DataGridView.
191	Alla kolumner
192	{0:N0} / {1:N0} celler
193	{0:N0} celler
194	Rensa sökning
195	Rensa sökning (Esc). Behåll sökkolumnen och sorteringen.
196	Filtrerar visade rader. Enter: nästa matchande cell. Shift+Enter: föregående. Escape: rensa.
197	Nästa matchande cell
198	Nästa matchande cell (F3 / Enter)
199	Inga träffar
200	Inga matchande rader.\nJustera sökningen eller använd Visa > Filtrera och sortera / Återställ vy.
201	Föregående matchande cell
202	Föregående matchande cell (Shift+F3 / Shift+Enter)
203	Sök i alla datakolumner eller välj en kolumn.
204	Sökkolumn
205	Sök i visade CSV-rader (Ctrl+F). Värden och källtext ändras inte.
206	Sök i tabell...
207	Sök i tabell
208	Sökresultat
209	Söker...
