# code|table|column|value|rows|preview|number|source|filter-sort|summary|spaces|reset-view|about
ka|ცხრილი|სვეტი|მნიშვნელობა|მწკრივები|წინასწარი ნახვა|რიცხვი|წყარო|გაფილტვრა და დალაგება|სვეტის შეჯამება|გამოტოვებების ჩვენება|ხედის აღდგენა|შესახებ
az|Cədvəl|Sütun|Dəyər|Sətirlər|Önbaxış|Ədəd|Mənbə|Süz və sırala|Sütun xülasəsi|Boşluqları göstər|Görünüşü sıfırla|Haqqında
kk|Кесте|Баған|Мән|Жолдар|Алдын ала қарау|Сан|Бастапқы мәтін|Сүзу және сұрыптау|Баған қорытындысы|Бос орындарды көрсету|Көріністі қалпына келтіру|Бағдарлама туралы
ky|Жадыбал|Мамыча|Маани|Саптар|Алдын ала көрүү|Сан|Булак|Чыпкалоо жана иреттөө|Мамычанын жыйынтыгы|Боштуктарды көрсөтүү|Көрүнүштү баштапкы абалга келтирүү|Программа жөнүндө
uz-Latn|Jadval|Ustun|Qiymat|Qatorlar|Oldindan ko‘rish|Son|Manba|Filtrlash va saralash|Ustun xulosasi|Bo‘shliqlarni ko‘rsatish|Ko‘rinishni tiklash|Dastur haqida
uz-Cyrl|Жадвал|Устун|Қиймат|Қаторлар|Олдиндан кўриш|Сон|Манба|Фильтрлаш ва саралаш|Устун хулосаси|Бўшлиқларни кўрсатиш|Кўринишни тиклаш|Дастур ҳақида
tt|Таблица|Багана|Кыйммәт|Юллар|Алдан карау|Сан|Чыганак|Сөзү һәм тәртипләү|Багана йомгаклары|Бушлыкларны күрсәтү|Күренешне кире кайтару|Программа турында
tg|Ҷадвал|Сутун|Қимат|Сатрҳо|Пешнамоиш|Адад|Манбаъ|Полоиш ва мураттабсозӣ|Хулосаи сутун|Намоиши фосилаҳо|Барқарор кардани намоиш|Дар бораи
mn|Хүснэгт|Багана|Утга|Мөрүүд|Урьдчилан харах|Тоо|Эх|Шүүх ба эрэмбэлэх|Баганын хураангуй|Зайг харуулах|Харагдацыг сэргээх|Тухай
fa|جدول|ستون|مقدار|ردیف‌ها|پیش‌نمایش|عدد|منبع|فیلتر و مرتب‌سازی|خلاصهٔ ستون|نمایش فاصله‌ها|بازنشانی نما|درباره
ar|جدول|عمود|قيمة|صفوف|معاينة|عدد|المصدر|التصفية والترتيب|ملخص العمود|إظهار المسافات|إعادة تعيين العرض|حول
he|טבלה|עמודה|ערך|שורות|תצוגה מקדימה|מספר|מקור|סינון ומיון|סיכום עמודה|הצגת רווחים|איפוס התצוגה|אודות
ur|جدول|کالم|قدر|قطاریں|پیش منظر|عدد|ماخذ|فلٹر اور ترتیب|کالم کا خلاصہ|خالی جگہیں دکھائیں|منظر بحال کریں|تعارف
ug|جەدۋەل|ئىستون|قىممەت|قۇرلار|ئالدىن كۆرۈش|سان|مەنبە|سۈزۈش ۋە رەتلەش|ئىستون خۇلاسىسى|بوشلۇقلارنى كۆرسىتىش|كۆرۈنۈشنى ئەسلىگە قايتۇرۇش|ھەققىدە
ckb|خشتە|ستوون|بەها|ڕیزەکان|پێشبینین|ژمارە|سەرچاوە|پاڵاوتن و ڕیزکردن|پوختەی ستوون|پیشاندانی بۆشاییەکان|گەڕاندنەوەی دیمەن|دەربارە
hi|तालिका|स्तंभ|मान|पंक्तियाँ|पूर्वावलोकन|संख्या|स्रोत|फ़िल्टर और क्रमबद्ध करें|स्तंभ सारांश|रिक्त स्थान दिखाएँ|दृश्य रीसेट करें|परिचय
gu|કોષ્ટક|કૉલમ|મૂલ્ય|પંક્તિઓ|પૂર્વાવલોકન|સંખ્યા|સ્રોત|ફિલ્ટર અને ક્રમમાં ગોઠવો|કૉલમનો સારાંશ|ખાલી જગ્યાઓ બતાવો|દૃશ્ય ફરી ગોઠવો|વિશે
mr|तक्ता|स्तंभ|मूल्य|ओळी|पूर्वावलोकन|संख्या|स्रोत|फिल्टर आणि क्रमवारी|स्तंभ सारांश|रिकाम्या जागा दाखवा|दृश्य पूर्ववत करा|विषयी
pa|ਸਾਰਣੀ|ਕਾਲਮ|ਮੁੱਲ|ਕਤਾਰਾਂ|ਝਲਕ|ਅੰਕ|ਸਰੋਤ|ਫਿਲਟਰ ਅਤੇ ਲੜੀਬੱਧ ਕਰੋ|ਕਾਲਮ ਦਾ ਸਾਰ|ਖਾਲੀ ਥਾਵਾਂ ਵਿਖਾਓ|ਝਲਕ ਮੁੜ-ਸੈੱਟ ਕਰੋ|ਬਾਰੇ
bn|সারণি|কলাম|মান|সারিগুলি|পূর্বরূপ|সংখ্যা|উৎস|ছাঁকুন এবং সাজান|কলামের সারাংশ|ফাঁকা স্থান দেখান|দৃশ্য পুনঃস্থাপন করুন|পরিচিতি
ne|तालिका|स्तम्भ|मान|पङ्क्तिहरू|पूर्वावलोकन|सङ्ख्या|स्रोत|फिल्टर र क्रमबद्ध गर्नुहोस्|स्तम्भको सारांश|खाली ठाउँ देखाउनुहोस्|दृश्य पुनःस्थापना गर्नुहोस्|बारेमा
si|වගුව|තීරුව|අගය|පේළි|පෙරදසුන|සංඛ්‍යාව|මූලාශ්‍රය|පෙරීම සහ වර්ග කිරීම|තීරු සාරාංශය|හිස්තැන් පෙන්වන්න|දසුන යළි පිහිටුවන්න|පිළිබඳව
ta|அட்டவணை|நெடுவரிசை|மதிப்பு|வரிசைகள்|முன்னோட்டம்|எண்|மூலம்|வடிகட்டி வரிசைப்படுத்து|நெடுவரிசைச் சுருக்கம்|இடைவெளிகளைக் காட்டு|காட்சியை மீட்டமை|பற்றி
te|పట్టిక|నిలువు వరుస|విలువ|అడ్డ వరుసలు|ముందస్తు వీక్షణ|సంఖ్య|మూలం|వడపోత మరియు క్రమబద్ధీకరణ|నిలువు వరుస సారాంశం|ఖాళీలను చూపించు|వీక్షణను పునరుద్ధరించు|గురించి
kn|ಕೋಷ್ಟಕ|ಲಂಬಸಾಲು|ಮೌಲ್ಯ|ಅಡ್ಡಸಾಲುಗಳು|ಮುನ್ನೋಟ|ಸಂಖ್ಯೆ|ಮೂಲ|ಶೋಧಿಸಿ ಮತ್ತು ವಿಂಗಡಿಸಿ|ಲಂಬಸಾಲಿನ ಸಾರಾಂಶ|ಖಾಲಿ ಜಾಗಗಳನ್ನು ತೋರಿಸು|ನೋಟವನ್ನು ಮರುಹೊಂದಿಸು|ಕುರಿತು
th|ตาราง|คอลัมน์|ค่า|แถว|แสดงตัวอย่าง|ตัวเลข|ต้นฉบับ|กรองและเรียงลำดับ|สรุปคอลัมน์|แสดงช่องว่าง|รีเซ็ตมุมมอง|เกี่ยวกับ
vi|Bảng|Cột|Giá trị|Hàng|Xem trước|Số|Nguồn|Lọc và sắp xếp|Tóm tắt cột|Hiện dấu cách|Đặt lại chế độ xem|Giới thiệu
id|Tabel|Kolom|Nilai|Baris|Pratinjau|Angka|Sumber|Filter dan urutkan|Ringkasan kolom|Tampilkan spasi|Atur ulang tampilan|Tentang
ms|Jadual|Lajur|Nilai|Baris|Pratonton|Nombor|Sumber|Tapis dan susun|Ringkasan lajur|Tunjukkan ruang|Tetapkan semula paparan|Perihal
tl|Talahanayan|Hanay|Halaga|Mga hilera|Paunang tingin|Bilang|Pinagmulan|Salain at ayusin|Buod ng hanay|Ipakita ang mga puwang|Ibalik ang tanawin|Tungkol
zh-CN|表格|列|值|行|预览|数值|源文本|筛选和排序|列摘要|显示空格|重置视图|关于
zh-TW|表格|欄|值|列|預覽|數值|來源文字|篩選與排序|欄摘要|顯示空格|重設檢視|關於
yue-Hant|表格|欄|值|列|預覽|數值|來源文字|篩選同排序|欄摘要|顯示空格|重設檢視|關於
ja|表|列|値|行|プレビュー|数値|ソース|フィルターと並べ替え|列の集計|空白を表示|表示をリセット|バージョン情報
ko|표|열|값|행|미리 보기|숫자|원본|필터 및 정렬|열 요약|공백 표시|보기 초기화|정보
af|Tabel|Kolom|Waarde|Rye|Voorskou|Getal|Bron|Filtreer en sorteer|Kolomopsomming|Wys spasies|Herstel aansig|Oor
zu|Ithebula|Ikholomu|Inani|Imigqa|Buka kuqala|Inombolo|Umthombo|Hlunga bese uhlela|Isifinyezo sekholomu|Bonisa izikhala|Setha kabusha ukubuka|Mayelana
