# language: cy
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	Golygydd CSV gweledol ar gyfer Notepad++
001	Ynghylch CSV Visual Editor
002	Cyswllt: {0}
003	Cysylltu â'r datblygwr {0}
004	Datblygwr: {0}
005	Adeilad datblygu
006	Yn mwynhau CSV Visual Editor? Cefnogwch y prosiect.\nRhowch seren iddo ar GitHub, rhannwch eich adborth, neu cysylltwch â'r datblygwr ynghylch cyfrannu. Diolch!
007	Iaith y rhyngwyneb: {0}
008	Ni ellid agor unrhyw ap cysylltiedig. Cyswllt: {0}
009	Prosiect ar GitHub
010	Fersiwn: {0}
011	Fersiwn ac adeilad
012	Cafodd {0} ei rwystro oherwydd bod model y golygiadau arfaethedig wedi newid. Ni chadwyd unrhyw newid rhannol.
013	Cafodd {0} ei rwystro: mae petryalau y clipfwrdd a'r detholiad â dimensiynau gwahanol.
014	Cafodd {0} ei rwystro: mae'r petryal targed yn ymestyn y tu hwnt i'r tabl CSV.
015	Cafodd {0} ei rwystro: nid oes petryal targed golygadwy.
016	Copïwyd {0} × {1} o gelloedd CSV.
017	Rhwystrwyd copïo/torri: mae cell a ddewiswyd yn cynnwys tab neu doriad llinell na ellir ei gynrychioli'n ddiamwys fel testun taenlen plaen.
018	Mae copïo yn gofyn am gelloedd CSV, nid detholiad o resi cyfan i'w dileu.
019	Mae copïo yn gofyn am un detholiad petryalog parhaus o gelloedd data CSV.
020	Torrwyd {0} o gelloedd i'r clipfwrdd a'u gwagio yn y sesiwn olygu arfaethedig. Mae Cymhwyso yn ysgrifennu'r gwagio i Notepad++.
021	Cwblhawyd y torri; roedd y celloedd a ddewiswyd eisoes yn wag. Mae'r clipfwrdd yn cynnwys eu gwerthoedd gwreiddiol.
022	Dim ond yn y modd golygu mae {0} ar gael.
023	Nid yw {0} ar gael ar gyfer y tabl cyfredol.
024	Rhwystrwyd gludo: {0} Ni newidiwyd unrhyw ddata.
025	Cwblhawyd gludo; roedd yr holl werthoedd targed eisoes yn union yr un fath.
026	Gludwyd {0} o gelloedd wedi'u newid i'r sesiwn olygu arfaethedig. Mae Cymhwyso yn eu hysgrifennu i Notepad++.
027	Mae {0} yn gofyn am betryal o gelloedd CSV, nid detholiad o resi cyfan i'w dileu.
028	Mae {0} yn gofyn am un detholiad petryalog parhaus o gelloedd data CSV.
029	Nid yw targedau {0} ar gael y tu allan i fodel rhes sefydlog y modd golygu.
030	Ni ellid cadarnhau golygiad y gell weithredol cyn copïo.
031	Ni ellid cadarnhau golygiad y gell weithredol. Cywirwch y gwerth cyn {0}.
032	Nid yw'r clipfwrdd yn cynnwys celloedd fel testun plaen.
033	Nid yw clipfwrdd Windows ar gael dros dro. Ni newidiwyd unrhyw ddata.
034	Copïo'r petryal celloedd CSV a ddewiswyd i glipfwrdd Windows (Ctrl+C)
035	Copïo'r celloedd CSV a ddewiswyd a'u gwagio yn y sesiwn olygu arfaethedig (Ctrl+X)
036	Gludo celloedd taenlen i'r gell neu'r petryal CSV a ddewiswyd (Ctrl+V)
037	Rhagweld amnewid testun, tynnu gofod gwyn allanol, neu newid priflythrennau/llythrennau bach mewn golygiadau CSV arfaethedig
038	Dewis y gell neu'r rhes CSV gyfredol ym mwyffer ffynhonnell Notepad++
039	Ffynhonnell
040	Trawsnewid
041	Ynghylch
042	Cymhwyso
043	Esgynnol
044	Canslo
045	Cau
046	Colofn
047	Copïo
048	Torri
049	Disgynnol
050	Golygu
051	Gadael golygu
052	Cyfateb priflythrennau
053	Rhif
054	Trefn wreiddiol
055	Gludo
056	Rhagolwg
057	Adnewyddu
058	Rhesi
059	Tabl
060	Testun
061	Gwerth
062	Crynodeb colofn: cyfrifon, gwerthoedd unigryw, amrediad rhifol a gwerthoedd cyffredin yn y wedd gyfredol.
063	Mae crynodeb colofn yn gofyn am dabl parod, darllen-yn-unig. Gadewch y modd golygu yn gyntaf.
064	Hidlo a didoli: cyfuno rheolau colofn a lefelau didoli testun/rhifol. Y wedd yn unig; nid yw CSV yn newid.
065	Hidlo a didoli: cyfuno rheolau colofn a hyd at dair lefel didoli testun/rhifol. Y wedd yn unig.
