# language: he
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	עורך CSV חזותי עבור Notepad++
001	אודות CSV Visual Editor
002	יצירת קשר: {0}
003	יצירת קשר עם המפתח {0}
004	מפתח: {0}
005	גרסת פיתוח
006	אוהבים את CSV Visual Editor? תמכו בפרויקט.\nתנו לו כוכב ב-GitHub, שתפו משוב או צרו קשר עם המפתח כדי לתרום. תודה!
007	שפת ממשק: {0}
008	לא ניתן לפתוח יישום משויך. יצירת קשר: {0}
009	הפרויקט ב-GitHub
010	גרסה: {0}
011	גרסה ובנייה
012	{0} נחסם מפני שמודל העריכות הממתינות השתנה. לא נשמר שינוי חלקי.
013	{0} נחסם: למלבני הלוח והבחירה יש מידות שונות.
014	{0} נחסם: מלבן היעד חורג מטבלת ה-CSV.
015	{0} נחסם: אין מלבן יעד הניתן לעריכה.
016	הועתקו {0} × {1} תאי CSV.
017	העתקה/גזירה נחסמה: תא שנבחר מכיל טאב או מעבר שורה שאינם ניתנים לייצוג חד-משמעי כטקסט גיליון אלקטרוני פשוט.
018	העתקה דורשת תאי CSV, לא בחירת שורות שלמות למחיקה.
019	העתקה דורשת בחירה מלבנית רציפה אחת של תאי נתוני CSV.
020	נגזרו {0} תאים ללוח ונוקו בהפעלת העריכה הממתינה. "החל" יכתוב את הניקוי ל-Notepad++.
021	הגזירה הושלמה; התאים שנבחרו כבר היו ריקים. הלוח מכיל את ערכיהם המקוריים.
022	{0} זמין רק במצב עריכה.
023	{0} אינו זמין עבור הטבלה הנוכחית.
024	הדבקה נחסמה: {0} לא שונו נתונים.
025	ההדבקה הושלמה; כל ערכי היעד כבר היו זהים.
026	הודבקו {0} תאים שהשתנו בהפעלת העריכה הממתינה. "החל" יכתוב אותם ל-Notepad++.
027	{0} דורש מלבן של תאי CSV, לא בחירת שורות שלמות למחיקה.
028	{0} דורש בחירה מלבנית רציפה אחת של תאי נתוני CSV.
029	יעדי {0} אינם זמינים מחוץ למודל השורות היציב של מצב העריכה.
030	לא ניתן היה לאשר את עריכת התא הפעיל לפני ההעתקה.
031	לא ניתן היה לאשר את עריכת התא הפעיל. תקנו את הערך לפני {0}.
032	הלוח אינו מכיל תאים כטקסט פשוט.
033	הלוח של Windows אינו זמין זמנית. לא שונו נתונים.
034	העתקת מלבן תאי ה-CSV שנבחר ללוח של Windows (Ctrl+C)
035	העתקת תאי ה-CSV שנבחרו וניקוים בהפעלת העריכה הממתינה (Ctrl+X)
036	הדבקת תאי גיליון אלקטרוני לתא או למלבן CSV שנבחר (Ctrl+V)
037	תצוגה מקדימה של החלפת טקסט, חיתוך רווחים חיצוניים או שינוי אותיות גדולות/קטנות בעריכות CSV ממתינות
038	בחירת תא או שורת CSV נוכחיים במאגר המקור של Notepad++
039	מקור
040	המרה
041	אודות
042	החל
043	עולה
044	ביטול
045	סגירה
046	עמודה
047	העתקה
048	גזירה
049	יורד
050	עריכה
051	יציאה מעריכה
052	התאמת רישיות
053	מספר
054	סדר מקורי
055	הדבקה
056	תצוגה מקדימה
057	רענון
058	שורות
059	טבלה
060	טקסט
061	ערך
062	סיכום עמודה: ספירות, ערכים ייחודיים, טווח מספרי וערכים שכיחים בתצוגה הנוכחית.
063	סיכום עמודה דורש טבלה מוכנה לקריאה בלבד. צאו תחילה ממצב עריכה.
064	סינון ומיון: שילוב כללי עמודה ורמות מיון טקסט/מספר. רק התצוגה משתנה; ה-CSV נשאר ללא שינוי.
065	סינון ומיון: שילוב כללי עמודה ועד שלוש רמות מיון טקסט/מספר. תצוגה בלבד.
066	סינון ומיון: {0} תנאים, {1} רמות מיון. איפוס התצוגה מנקה את כל הכללים.
067	סינון ומיון דורשים טבלה מוכנה לקריאה בלבד. צאו תחילה ממצב עריכה.
068	אבחון (0)
069	0 שינויים
070	הוספת תנאי
071	הוספת רמת מיון
072	החלת תצוגה
073	רישיות
074	השוואת טקסט הרגישה לאותיות גדולות/קטנות. רווחים בערכים נחשבים מילולית.
075	בדקו את הכללים: {0}
076	תנאי
077	{0} / 8 תנאים; {1} / 3 רמות מיון. הציגו תצוגה מקדימה כדי לבדוק שורות תואמות.
078	מכיל
079	אינו מכיל
080	אינו שווה ל-
081	ריק = אפס תווים. רווחים בלבד = רצף לא ריק של רווחים/טאבים/מעברי שורה.\nמספרים משתמשים בנקודה עשרונית (-12.5), ללא קיבוץ או מעריכים; הדיוק חייב להיות מדויק.
082	מסתיים ב-
083	שווה ל-
084	ערך מסנן
085	מסננים
086	ריק
087	אינו ריק
088	אינו רק רווחים
089	רק רווחים
090	טקסט מילולי, כולל רווחים. כללים מספריים דורשים מספר עשרוני מדויק עם נקודה.
091	התאמת כל התנאים
092	התאמת תנאי כלשהו
093	מספר =
094	מספר >
095	מספר >=
096	מספר <
097	מספר <=
098	מספר (עשרוני)
099	תצוגה מקדימה: {0:N0} מתוך {1:N0} שורות מוצגות. CSV ללא שינוי.
100	הסרת תנאי
101	הסרת רמת מיון
102	איפוס כללים
103	הכללים מתחשבים גם בחיפוש הנוכחי. ביטול שומר את התצוגה הפעילה.
104	מיון
105	מתחיל ב-
106	טקסט: סדר אורדינלי ללא רגישות לרישיות. מספר: עשרוניים מדויקים; ערכים לא תקינים/ריקים בסוף.\nמפתחות שווים שומרים על סדר המקור. הסירו את כל הרמות כדי לשחזר את סדר המקור.
107	ההקרנה מוגבלת; שורות שאינן מוצגות אינן כלולות. 
108	סינון ומיון
109	לרמה העליונה יש עדיפות; רמות מאוחרות יותר שוברות שוויון. עד 3.
110	ערך (מילולי, כולל רווחים)
111	תצוגה בלבד — ערכי CSV וסדר המקור נשארים ללא שינוי. {0:N0} שורות מוצגות.\n
112	"החל" נחסם מפני של-{0} אין פרופיל קידוד נתמך במפורש. תוכן העורך לא שונה.
113	"החל" נחסם מפני שאימות קידוד קפדני עבור {0} לא השלים המרה מדויקת הלוך ושוב. תוכן העורך לא שונה.
