# language: ka
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	ვიზუალური CSV რედაქტორი Notepad++-ისთვის
001	CSV Visual Editor-ის შესახებ
002	კონტაქტი: {0}
003	დაუკავშირდით დეველოპერს {0}
004	დეველოპერი: {0}
005	დეველოპერული ვერსია
006	მოგწონთ CSV Visual Editor? მხარი დაუჭირეთ პროექტს.\nმიეცით ვარსკვლავი GitHub-ზე, გაგვიზიარეთ გამოხმაურება ან დაუკავშირდით დეველოპერს წვლილის შესატანად. გმადლობთ!
007	ინტერფეისის ენა: {0}
008	ასოცირებული აპის გახსნა ვერ მოხერხდა. კონტაქტი: {0}
009	პროექტი GitHub-ზე
010	ვერსია: {0}
011	ვერსია და აგება
012	{0} დაიბლოკა, რადგან მომლოდინე რედაქტირების მოდელი შეიცვალა. ნაწილობრივი ცვლილება არ შენახულა.
013	{0} დაიბლოკა: ბუფერისა და მონიშნული მართკუთხედების ზომები განსხვავდება.
014	{0} დაიბლოკა: სამიზნე მართკუთხედი CSV ცხრილის საზღვრებს სცდება.
015	{0} დაიბლოკა: რედაქტირებადი სამიზნე მართკუთხედი არ არის.
016	დაკოპირდა {0} × {1} CSV უჯრა.
017	კოპირება/ამოჭრა დაიბლოკა: მონიშნული უჯრა შეიცავს ტაბულაციას ან ხაზის წყვეტას, რომლის ერთმნიშვნელოვნად წარმოდგენა ჩვეულებრივ ცხრილურ ტექსტად შეუძლებელია.
018	კოპირებისთვის საჭიროა CSV უჯრები და არა წასაშლელად მონიშნული მთელი რიგები.
019	კოპირებისთვის საჭიროა CSV მონაცემთა უჯრების ერთი უწყვეტი მართკუთხა არჩევანი.
020	{0} უჯრა ამოიჭრა ბუფერში და გასუფთავდა მომლოდინე რედაქტირების სესიაში. „გამოყენება“ ჩაწერს გასუფთავებას Notepad++-ში.
021	ამოჭრა დასრულდა; მონიშნული უჯრები უკვე ცარიელი იყო. ბუფერი შეიცავს მათ საწყის მნიშვნელობებს.
022	{0} ხელმისაწვდომია მხოლოდ რედაქტირების რეჟიმში.
023	{0} მიმდინარე ცხრილისთვის მიუწვდომელია.
024	ჩასმა დაიბლოკა: {0} მონაცემები არ შეცვლილა.
025	ჩასმა დასრულდა; ყველა სამიზნე მნიშვნელობა უკვე იდენტური იყო.
026	მომლოდინე რედაქტირების სესიაში ჩაისვა {0} შეცვლილი უჯრა. „გამოყენება“ ჩაწერს მათ Notepad++-ში.
027	{0}-სთვის საჭიროა CSV უჯრების მართკუთხედი და არა წასაშლელად მონიშნული მთელი რიგები.
028	{0}-სთვის საჭიროა CSV მონაცემთა უჯრების ერთი უწყვეტი მართკუთხა არჩევანი.
029	{0}-ის სამიზნეები რედაქტირების რეჟიმის სტაბილური რიგების მოდელის გარეთ მიუწვდომელია.
030	აქტიური უჯრის რედაქტირების დადასტურება კოპირებამდე ვერ მოხერხდა.
031	აქტიური უჯრის რედაქტირების დადასტურება ვერ მოხერხდა. {0}-მდე გაასწორეთ მნიშვნელობა.
032	ბუფერი არ შეიცავს უჯრებს უბრალო ტექსტის სახით.
033	Windows-ის ბუფერი დროებით მიუწვდომელია. მონაცემები არ შეცვლილა.
034	მონიშნული CSV უჯრების მართკუთხედის კოპირება Windows-ის ბუფერში (Ctrl+C)
035	მონიშნული CSV უჯრების კოპირება და გასუფთავება მომლოდინე რედაქტირების სესიაში (Ctrl+X)
036	ელცხრილის უჯრების ჩასმა მონიშნულ CSV უჯრაში ან მართკუთხედში (Ctrl+V)
037	ტექსტის ჩანაცვლების, გარე ცარიელი სივრცის მოცილების ან რეგისტრის შეცვლის წინასწარი ნახვა მომლოდინე CSV რედაქტირებებში
038	მიმდინარე CSV უჯრის ან რიგის მონიშვნა Notepad++-ის წყაროს ბუფერში
039	წყარო
040	გარდაქმნა
041	შესახებ
042	გამოყენება
043	ზრდადი
044	გაუქმება
045	დახურვა
046	სვეტი
047	კოპირება
048	ამოჭრა
049	კლებადი
050	რედაქტირება
051	რედაქტირებიდან გასვლა
052	რეგისტრის გათვალისწინება
053	რიცხვი
054	საწყისი მიმდევრობა
055	ჩასმა
056	წინასწარი ნახვა
057	განახლება
058	რიგები
059	ცხრილი
060	ტექსტი
061	მნიშვნელობა
062	სვეტის შეჯამება: რაოდენობები, განსხვავებული მნიშვნელობები, რიცხვითი დიაპაზონი და ხშირი მნიშვნელობები მიმდინარე ხედში.
063	სვეტის შეჯამებისთვის საჭიროა მზად, მხოლოდ წასაკითხი ცხრილი. ჯერ გამოდით რედაქტირების რეჟიმიდან.
