# language: mn
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	Notepad++-д зориулсан харагдах CSV засварлагч
001	CSV Visual Editor-ийн тухай
002	Холбоо барих: {0}
003	Хөгжүүлэгч {0}-тэй холбоо барих
004	Хөгжүүлэгч: {0}
005	Хөгжүүлэлтийн хувилбар
006	CSV Visual Editor таалагдаж байна уу? Төслийг дэмжээрэй.\nGitHub дээр од өгч, санал бодлоо хуваалцах эсвэл хувь нэмэр оруулахын тулд хөгжүүлэгчтэй холбоо барина уу. Баярлалаа!
007	Интерфэйсийн хэл: {0}
008	Холбогдсон аппыг нээж чадсангүй. Холбоо барих: {0}
009	GitHub дээрх төсөл
010	Хувилбар: {0}
011	Хувилбар ба build
012	Хүлээгдэж буй засварын загвар өөрчлөгдсөн тул {0}-г хориглов. Хэсэгчилсэн өөрчлөлт хадгалагдаагүй.
013	{0}-г хориглов: clipboard ба сонголтын тэгш өнцөгтүүдийн хэмжээ өөр байна.
014	{0}-г хориглов: зорилтот тэгш өнцөгт CSV хүснэгтээс хальсан.
015	{0}-г хориглов: засварлаж болох зорилтот тэгш өнцөгт алга.
016	{0} × {1} CSV нүдийг хууллаа.
017	Хуулах/тайрахыг хориглов: сонгосон нүдэнд энгийн хүснэгтийн текстээр хоёрдмол утгагүй дүрслэх боломжгүй tab эсвэл мөр таслалт байна.
018	Хуулахын тулд устгахаар сонгосон бүтэн мөрүүд биш CSV нүднүүд хэрэгтэй.
019	Хуулахын тулд CSV өгөгдлийн нүднүүдийн нэг тасралтгүй тэгш өнцөгт сонголт хэрэгтэй.
020	{0} нүдийг clipboard руу тайрч, хүлээгдэж буй засварын сешнд хоосоллоо. Хэрэглэх нь хоосолсон өөрчлөлтийг Notepad++ руу бичнэ.
021	Тайралт дууслаа; сонгосон нүднүүд аль хэдийн хоосон байсан. Clipboard-д тэдгээрийн анхны утгууд байна.
022	{0} зөвхөн засварлах горимд боломжтой.
023	{0} одоогийн хүснэгтэд боломжгүй.
024	Буулгахыг хориглов: {0} Ямар ч өгөгдөл өөрчлөгдөөгүй.
025	Буулгалт дууслаа; бүх зорилтот утгууд аль хэдийн адил байсан.
026	{0} өөрчлөгдсөн нүдийг хүлээгдэж буй засварын сешнд буулгалаа. Хэрэглэх нь тэдгээрийг Notepad++ руу бичнэ.
027	{0}-д устгахаар сонгосон бүтэн мөрүүд биш CSV нүдний тэгш өнцөгт хэрэгтэй.
028	{0}-д CSV өгөгдлийн нүднүүдийн нэг тасралтгүй тэгш өнцөгт сонголт хэрэгтэй.
029	Засварлах горимын тогтвортой мөрийн загвараас гадуур {0}-ын зорилтууд боломжгүй.
030	Хуулахаас өмнө идэвхтэй нүдний засварыг баталгаажуулж чадсангүй.
031	Идэвхтэй нүдний засварыг баталгаажуулж чадсангүй. {0}-оос өмнө утгыг засна уу.
032	Clipboard-д энгийн текст хэлбэрийн нүд алга.
033	Windows clipboard түр боломжгүй байна. Ямар ч өгөгдөл өөрчлөгдөөгүй.
034	Сонгосон CSV нүдний тэгш өнцөгтийг Windows clipboard руу хуулах (Ctrl+C)
035	Сонгосон CSV нүднүүдийг хуулж, хүлээгдэж буй засварын сешнд хоослох (Ctrl+X)
036	Хүснэгтийн нүднүүдийг сонгосон CSV нүд эсвэл тэгш өнцөгт рүү буулгах (Ctrl+V)
037	Хүлээгдэж буй CSV засваруудад текст солих, гадна талын хоосон тэмдэг арилгах эсвэл том/жижиг үсэг өөрчлөхийг урьдчилан харах
038	Одоогийн CSV нүд эсвэл мөрийг Notepad++-ийн эх буферт сонгох
039	Эх сурвалж
040	Хувиргах
041	Тухай
042	Хэрэглэх
043	Өсөхөөр
044	Цуцлах
045	Хаах
046	Багана
047	Хуулах
048	Тайрах
049	Буурахаар
050	Засварлах
051	Засварлахаас гарах
052	Том/жижиг үсэг тааруулах
053	Тоо
054	Анхны дараалал
055	Буулгах
056	Урьдчилан харах
057	Шинэчлэх
058	Мөрүүд
059	Хүснэгт
060	Текст
061	Утга
062	Баганын тойм: одоогийн харагдац дахь тоо, ялгаатай утга, тоон хүрээ ба түгээмэл утгууд.
063	Баганын тоймд бэлэн, зөвхөн унших хүснэгт шаардлагатай. Эхлээд засварлах горимоос гарна уу.
064	Шүүх ба эрэмбэлэх: баганын дүрэм болон текст/тоон эрэмбийн түвшнүүдийг нэгтгэнэ. Зөвхөн харагдац өөрчлөгдөнө; CSV өөрчлөгдөхгүй.
065	Шүүх ба эрэмбэлэх: баганын дүрэм болон гурван хүртэлх текст/тоон эрэмбийн түвшнийг нэгтгэнэ. Зөвхөн харагдац өөрчлөгдөнө.
