# code|table|column|value|rows|preview|number|source|filter-sort|summary|spaces|reset-view|about
fr|Tableau|Colonne|Valeur|Lignes|Aperçu|Nombre|Source|Filtrer et trier|Résumé de colonne|Afficher les espaces|Réinitialiser la vue|À propos
de|Tabelle|Spalte|Wert|Zeilen|Vorschau|Zahl|Quelle|Filtern und sortieren|Spaltenübersicht|Leerzeichen anzeigen|Ansicht zurücksetzen|Über
es|Tabla|Columna|Valor|Filas|Vista previa|Número|Origen|Filtrar y ordenar|Resumen de columna|Mostrar espacios|Restablecer vista|Acerca de
es-AR|Tabla|Columna|Valor|Filas|Vista previa|Número|Origen|Filtrar y ordenar|Resumen de columna|Mostrar espacios|Restablecer vista|Acerca de
it|Tabella|Colonna|Valore|Righe|Anteprima|Numero|Origine|Filtra e ordina|Riepilogo colonna|Mostra spazi|Ripristina vista|Informazioni
pt-PT|Tabela|Coluna|Valor|Linhas|Pré-visualização|Número|Origem|Filtrar e ordenar|Resumo da coluna|Mostrar espaços|Repor vista|Acerca de
pt-BR|Tabela|Coluna|Valor|Linhas|Prévia|Número|Origem|Filtrar e ordenar|Resumo da coluna|Mostrar espaços|Redefinir visualização|Sobre
nl|Tabel|Kolom|Waarde|Rijen|Voorbeeld|Getal|Bron|Filteren en sorteren|Kolomoverzicht|Spaties tonen|Weergave herstellen|Over
sv|Tabell|Kolumn|Värde|Rader|Förhandsgranska|Tal|Källa|Filtrera och sortera|Kolumnöversikt|Visa blanksteg|Återställ vy|Om
da|Tabel|Kolonne|Værdi|Rækker|Forhåndsvisning|Tal|Kilde|Filtrer og sorter|Kolonneoversigt|Vis mellemrum|Nulstil visning|Om
fi|Taulukko|Sarake|Arvo|Rivit|Esikatselu|Luku|Lähde|Suodata ja lajittele|Sarakkeen yhteenveto|Näytä välilyönnit|Palauta näkymä|Tietoja
nb|Tabell|Kolonne|Verdi|Rader|Forhåndsvisning|Tall|Kilde|Filtrer og sorter|Kolonnesammendrag|Vis mellomrom|Tilbakestill visning|Om
nn|Tabell|Kolonne|Verdi|Rader|Førehandsvising|Tal|Kjelde|Filtrer og sorter|Kolonnesamandrag|Vis mellomrom|Nullstill vising|Om
et|Tabel|Veerg|Väärtus|Read|Eelvaade|Arv|Allikas|Filtreeri ja sordi|Veeru kokkuvõte|Näita tühikuid|Lähtesta vaade|Teave
lv|Tabula|Kolonna|Vērtība|Rindas|Priekšskatījums|Skaitlis|Avots|Filtrēt un kārtot|Kolonnas kopsavilkums|Rādīt atstarpes|Atiestatīt skatu|Par
lt|Lentelė|Stulpelis|Reikšmė|Eilutės|Peržiūra|Skaičius|Šaltinis|Filtruoti ir rikiuoti|Stulpelio suvestinė|Rodyti tarpus|Atkurti rodinį|Apie
pl|Tabela|Kolumna|Wartość|Wiersze|Podgląd|Liczba|Źródło|Filtruj i sortuj|Podsumowanie kolumny|Pokaż spacje|Resetuj widok|O programie
cs|Tabulka|Sloupec|Hodnota|Řádky|Náhled|Číslo|Zdroj|Filtrovat a řadit|Souhrn sloupce|Zobrazit mezery|Obnovit zobrazení|O aplikaci
sk|Tabuľka|Stĺpec|Hodnota|Riadky|Náhľad|Číslo|Zdroj|Filtrovať a zoradiť|Súhrn stĺpca|Zobraziť medzery|Obnoviť zobrazenie|O aplikácii
sl|Tabela|Stolpec|Vrednost|Vrstice|Predogled|Število|Vir|Filtriraj in razvrsti|Povzetek stolpca|Pokaži presledke|Ponastavi pogled|O programu
hr|Tablica|Stupac|Vrijednost|Redci|Pregled|Broj|Izvor|Filtriraj i sortiraj|Sažetak stupca|Prikaži razmake|Vrati prikaz|O programu
bs|Tabela|Kolona|Vrijednost|Redovi|Pregled|Broj|Izvor|Filtriraj i sortiraj|Sažetak kolone|Prikaži razmake|Vrati prikaz|O programu
sr-Latn|Tabela|Kolona|Vrednost|Redovi|Pregled|Broj|Izvor|Filtriraj i sortiraj|Sažetak kolone|Prikaži razmake|Vrati prikaz|O programu
sr-Cyrl|Табела|Колона|Вредност|Редови|Преглед|Број|Извор|Филтрирај и сортирај|Сажетак колоне|Прикажи размаке|Врати приказ|О програму
ro|Tabel|Coloană|Valoare|Rânduri|Previzualizare|Număr|Sursă|Filtrare și sortare|Rezumatul coloanei|Afișează spațiile|Resetează vizualizarea|Despre
