# language: hi
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	Notepad++ के लिए एक दृश्य CSV संपादक
001	CSV Visual Editor के बारे में
002	संपर्क: {0}
003	डेवलपर {0} से संपर्क करें
004	डेवलपर: {0}
005	विकास संस्करण
006	CSV Visual Editor पसंद आ रहा है? परियोजना का समर्थन करें।\nGitHub पर इसे स्टार दें, अपनी प्रतिक्रिया साझा करें, या योगदान के लिए डेवलपर से संपर्क करें। धन्यवाद!
007	इंटरफ़ेस भाषा: {0}
008	कोई संबद्ध ऐप नहीं खोला जा सका। संपर्क: {0}
009	GitHub पर परियोजना
010	संस्करण: {0}
011	संस्करण और बिल्ड
012	{0} को रोका गया क्योंकि लंबित संपादन मॉडल बदल गया। कोई आंशिक परिवर्तन नहीं रखा गया।
013	{0} को रोका गया: क्लिपबोर्ड और चयनित आयतों के आयाम अलग हैं।
014	{0} को रोका गया: लक्ष्य आयत CSV तालिका से बाहर जाता है।
015	{0} को रोका गया: कोई संपादन योग्य लक्ष्य आयत नहीं है।
016	{0} × {1} CSV सेल कॉपी किए गए।
017	कॉपी/कट रोका गया: चयनित सेल में टैब या लाइन ब्रेक है जिसे साधारण स्प्रेडशीट पाठ के रूप में बिना अस्पष्टता के प्रस्तुत नहीं किया जा सकता।
018	कॉपी करने के लिए CSV सेल चाहिए, हटाने के लिए चुनी गई पूरी पंक्तियाँ नहीं।
019	कॉपी करने के लिए CSV डेटा सेल का एक सतत आयताकार चयन चाहिए।
020	{0} सेल क्लिपबोर्ड में कट किए गए और लंबित संपादन सत्र में खाली किए गए। लागू करें उन्हें Notepad++ में खाली लिखता है।
021	कट पूरा हुआ; चयनित सेल पहले से खाली थे। क्लिपबोर्ड में उनके मूल मान हैं।
022	{0} केवल संपादन मोड में उपलब्ध है।
023	{0} वर्तमान तालिका के लिए उपलब्ध नहीं है।
024	पेस्ट रोका गया: {0} कोई डेटा नहीं बदला गया।
025	पेस्ट पूरा हुआ; सभी लक्ष्य मान पहले से समान थे।
026	{0} बदले हुए सेल लंबित संपादन सत्र में पेस्ट किए गए। लागू करें उन्हें Notepad++ में लिखता है।
027	{0} को CSV सेल का आयत चाहिए, हटाने के लिए चुनी गई पूरी पंक्तियाँ नहीं।
028	{0} को CSV डेटा सेल का एक सतत आयताकार चयन चाहिए।
029	{0} के लक्ष्य संपादन मोड के स्थिर पंक्ति मॉडल के बाहर उपलब्ध नहीं हैं।
