# language: ga
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	Eagarthóir amhairc CSV do Notepad++
001	Maidir le CSV Visual Editor
002	Teagmháil: {0}
003	Téigh i dteagmháil leis an bhforbróir {0}
004	Forbróir: {0}
005	Leagan forbartha
006	An maith leat CSV Visual Editor? Tacaigh leis an tionscadal.\nCuir réalta leis ar GitHub, roinn d'aiseolas, nó téigh i dteagmháil leis an bhforbróir faoi rannchuidiú. Go raibh maith agat!
007	Teanga an chomhéadain: {0}
008	Níorbh fhéidir aon aip ghaolmhar a oscailt. Teagmháil: {0}
009	Tionscadal ar GitHub
010	Leagan: {0}
011	Leagan agus tógáil
012	Cuireadh bac ar {0} mar gur athraigh samhail na n-eagarthóireachtaí ar feitheamh. Níor coinníodh aon athrú páirteach.
013	Cuireadh bac ar {0}: tá toisí éagsúla ag dronuilleoga an ghearrthaisce agus an roghnaithe.
014	Cuireadh bac ar {0}: síneann an dronuilleog sprice thar an tábla CSV.
015	Cuireadh bac ar {0}: níl dronuilleog sprice ineagarthóireachta ann.
016	Cóipeáladh {0} × {1} cealla CSV.
017	Cuireadh bac ar chóipeáil/gearradh: tá táb nó briseadh líne i gcill roghnaithe nach féidir a léiriú gan débhríocht mar ghnáth-théacs scarbhileoige.
018	Teastaíonn cealla CSV don chóipeáil, ní roghnú sraitheanna iomlána le scriosadh.
019	Teastaíonn roghnú dronuilleogach leanúnach amháin de chealla sonraí CSV don chóipeáil.
020	Gearradh {0} cealla chuig an ngearrthaisce agus folmhaíodh iad sa seisiún eagarthóireachta ar feitheamh. Scríobhann Cuir i bhfeidhm an folmhú chuig Notepad++.
021	Críochnaíodh an gearradh; bhí na cealla roghnaithe folamh cheana féin. Tá a mbunluachanna sa ghearrthaisce.
022	Níl {0} ar fáil ach sa mhód eagarthóireachta.
023	Níl {0} ar fáil don tábla reatha.
024	Cuireadh bac ar ghreamú: {0} Níor athraíodh aon sonraí.
025	Críochnaíodh an greamú; bhí na spriocluachanna uile comhionann cheana féin.
026	Greamaíodh {0} cealla athraithe sa seisiún eagarthóireachta ar feitheamh. Scríobhann Cuir i bhfeidhm iad chuig Notepad++.
027	Teastaíonn dronuilleog de chealla CSV ó {0}, ní roghnú sraitheanna iomlána le scriosadh.
028	Teastaíonn roghnú dronuilleogach leanúnach amháin de chealla sonraí CSV ó {0}.
029	Níl spriocanna {0} ar fáil lasmuigh de shamhail chobhsaí sraithe an mhóid eagarthóireachta.
030	Níorbh fhéidir eagarthóireacht na cille gníomhaí a dheimhniú roimh chóipeáil.
031	Níorbh fhéidir eagarthóireacht na cille gníomhaí a dheimhniú. Ceartaigh an luach roimh {0}.
032	Níl cealla mar ghnáth-théacs sa ghearrthaisce.
033	Níl gearrthaisce Windows ar fáil go sealadach. Níor athraíodh aon sonraí.
034	Cóipeáil an dronuilleog roghnaithe de chealla CSV chuig gearrthaisce Windows (Ctrl+C)
035	Cóipeáil na cealla CSV roghnaithe agus folmhaigh iad sa seisiún eagarthóireachta ar feitheamh (Ctrl+X)
036	Greamaigh cealla scarbhileoige isteach sa chill CSV nó sa dronuilleog roghnaithe (Ctrl+V)
037	Réamhamharc ar athsholáthar téacs, baint spás bán seachtrach, nó athrú cáis sna heagarthóireachtaí CSV ar feitheamh
038	Roghnaigh an chill nó an tsraith CSV reatha i maolán foinse Notepad++
039	Foinse
040	Claochlú
041	Maidir leis
042	Cuir i bhfeidhm
043	Ardaitheach
044	Cealaigh
045	Dún
046	Colún
047	Cóipeáil
048	Gearr
049	Íslitheach
050	Cuir in eagar
051	Scoir den eagarthóireacht
052	Meaitseáil cás
053	Uimhir
054	Ord bunaidh
055	Greamaigh
056	Réamhamharc
057	Athnuaigh
058	Sraitheanna
059	Tábla
060	Téacs
061	Luach
062	Achoimre colúin: comhairimh, luachanna ar leith, raon uimhriúil agus luachanna coitianta san amharc reatha.
063	Teastaíonn tábla réidh inléite amháin don achoimre colúin. Scoir den mhód eagarthóireachta ar dtús.
064	Scag agus sórtáil: comhcheangail rialacha colúin agus leibhéil sórtála téacs/uimhriúla. Ní athraíonn ach an t-amharc; fanann CSV gan athrú.
065	Scag agus sórtáil: comhcheangail rialacha colúin agus suas le trí leibhéal sórtála téacs/uimhriúla. Ní athraíonn ach an t-amharc.
066	Scag agus sórtáil: {0} coinníoll, {1} leibhéal sórtála. Glanann Athshocraigh amharc na rialacha uile.
067	Teastaíonn tábla réidh inléite amháin don scagadh agus don sórtáil. Scoir den mhód eagarthóireachta ar dtús.
068	Diagnóisic (0)
069	0 athrú
070	Cuir coinníoll leis
071	Cuir leibhéal sórtála leis
072	Cuir an t-amharc i bhfeidhm
073	Cás
074	Comparáid téacs atá íogair do chás. Déileáiltear le spásanna i luachanna go litriúil.
075	Seiceáil na rialacha: {0}
076	Coinníoll
