# language: lv
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	Vizuāls CSV redaktors Notepad++ videi
001	Par CSV Visual Editor
002	Kontaktinformācija: {0}
003	Sazināties ar izstrādātāju {0}
004	Izstrādātājs: {0}
005	Izstrādes versija
006	Patīk CSV Visual Editor? Atbalstiet projektu.\nPiešķiriet tam zvaigznīti GitHub, dalieties atsauksmēs vai sazinieties ar izstrādātāju, lai iesaistītos. Paldies!
007	Saskarnes valoda: {0}
008	Neizdevās atvērt saistītu lietotni. Kontaktinformācija: {0}
009	Projekts vietnē GitHub
010	Versija: {0}
011	Versija un būvējums
012	Darbība {0} bloķēta, jo gaidošo labojumu modelis ir mainījies. Daļējas izmaiņas netika saglabātas.
013	Darbība {0} bloķēta: starpliktuves un atlases taisnstūriem ir atšķirīgi izmēri.
014	Darbība {0} bloķēta: mērķa taisnstūris pārsniedz CSV tabulas robežas.
015	Darbība {0} bloķēta: nav rediģējama mērķa taisnstūra.
016	Nokopētas {0} × {1} CSV šūnas.
017	Kopēšana/izgriešana bloķēta: atlasītā šūnā ir tabulācijas vai rindas pārtraukuma rakstzīme, ko nevar nepārprotami attēlot kā vienkāršu izklājlapas tekstu.
018	Kopēšanai jāatlasa CSV šūnas, nevis veselas rindas dzēšanai.
019	Kopēšanai nepieciešama viena nepārtraukta taisnstūrveida CSV datu šūnu atlase.
020	Starpliktuvē izgrieztas {0} šūnas, un tās iztukšotas gaidošajā rediģēšanas sesijā. „Lietot” ieraksta iztukšošanu Notepad++.
021	Izgriešana pabeigta; atlasītās šūnas jau bija tukšas. Starpliktuvē ir to sākotnējās vērtības.
022	Darbība {0} pieejama tikai rediģēšanas režīmā.
023	Darbība {0} pašreizējai tabulai nav pieejama.
024	Ielīmēšana bloķēta: {0} Dati netika mainīti.
025	Ielīmēšana pabeigta; visas mērķa vērtības jau bija identiskas.
026	Gaidošajā rediģēšanas sesijā ielīmētas {0} mainītas šūnas. „Lietot” tās ieraksta Notepad++.
027	Darbībai {0} nepieciešams CSV šūnu taisnstūris, nevis veselu rindu atlase dzēšanai.
028	Darbībai {0} nepieciešama viena nepārtraukta taisnstūrveida CSV datu šūnu atlase.
029	Darbības {0} mērķi nav pieejami ārpus rediģēšanas režīma stabilā rindu modeļa.
030	Pirms kopēšanas neizdevās apstiprināt aktīvās šūnas labojumu.
031	Neizdevās apstiprināt aktīvās šūnas labojumu. Pirms darbības {0} izlabojiet vērtību.
032	Starpliktuvē nav šūnu vienkārša teksta formā.
033	Windows starpliktuve īslaicīgi nav pieejama. Dati netika mainīti.
034	Kopēt atlasīto CSV šūnu taisnstūri Windows starpliktuvē (Ctrl+C)
035	Kopēt atlasītās CSV šūnas un iztukšot tās gaidošajā rediģēšanas sesijā (Ctrl+X)
