# language: sl
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	Vizualni urejevalnik CSV za Notepad++
001	O programu CSV Visual Editor
002	Stik: {0}
003	Stopite v stik z razvijalcem {0}
004	Razvijalec: {0}
005	Razvojna različica
006	Vam je CSV Visual Editor všeč? Podprite projekt.\nDodajte zvezdico na GitHubu, pošljite povratne informacije ali se z razvijalcem dogovorite za sodelovanje. Hvala!
007	Jezik vmesnika: {0}
008	Povezanega programa ni bilo mogoče odpreti. Stik: {0}
009	Projekt na GitHubu
010	Različica: {0}
011	Različica in gradnja
012	Dejanje {0} je blokirano, ker se je spremenil model čakajočih sprememb. Nobena delna sprememba ni bila ohranjena.
013	Dejanje {0} je blokirano: pravokotnika odložišča in izbora imata različne mere.
014	Dejanje {0} je blokirano: ciljni pravokotnik sega čez tabelo CSV.
015	Dejanje {0} je blokirano: ni ciljnega pravokotnika, ki bi ga bilo mogoče urejati.
016	Kopiranih je {0} × {1} celic CSV.
017	Kopiranje/izrezovanje je blokirano: izbrana celica vsebuje tabulator ali prelom vrstice, ki ga ni mogoče nedvoumno predstaviti kot navadno besedilo za preglednice.
018	Kopiranje zahteva celice CSV, ne izbora celotnih vrstic za brisanje.
019	Kopiranje zahteva en strnjen pravokotni izbor podatkovnih celic CSV.
020	V odložišče je izrezanih {0} celic, ki so izpraznjene v čakajoči seji urejanja. »Uveljavi« zapiše prazne vrednosti v Notepad++.
021	Izrezovanje je končano; izbrane celice so bile že prazne. Odložišče vsebuje njihove izvirne vrednosti.
022	Dejanje {0} je na voljo samo v načinu urejanja.
023	Dejanje {0} za trenutno tabelo ni na voljo.
024	Lepljenje je blokirano: {0} Nobeni podatki niso bili spremenjeni.
025	Lepljenje je končano; vse ciljne vrednosti so bile že enake.
026	V čakajočo sejo urejanja je prilepljenih {0} spremenjenih celic. »Uveljavi« jih zapiše v Notepad++.
027	Dejanje {0} zahteva pravokotnik celic CSV, ne izbora celotnih vrstic za brisanje.
028	Dejanje {0} zahteva en strnjen pravokotni izbor podatkovnih celic CSV.
029	Cilji dejanja {0} zunaj stabilnega modela vrstic načina urejanja niso na voljo.
030	Urejanja dejavne celice pred kopiranjem ni bilo mogoče potrditi.
031	Urejanja dejavne celice ni bilo mogoče potrditi. Pred dejanjem {0} popravite vrednost.
032	Odložišče ne vsebuje celic v obliki navadnega besedila.
033	Odložišče Windows začasno ni na voljo. Nobeni podatki niso bili spremenjeni.
034	Kopiraj izbrani pravokotnik celic CSV v odložišče Windows (Ctrl+C)
035	Kopiraj izbrane celice CSV in jih izprazni v čakajoči seji urejanja (Ctrl+X)
036	Prilepi celice preglednice v izbrano celico ali pravokotnik CSV (Ctrl+V)
037	Predogled zamenjave besedila, odstranjevanja zunanjih belih znakov ali spremembe velikosti črk v čakajočih spremembah CSV
