# language: el
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	Ένας οπτικός επεξεργαστής CSV για το Notepad++
001	Σχετικά με το CSV Visual Editor
002	Επικοινωνία: {0}
003	Επικοινωνία με τον προγραμματιστή {0}
004	Προγραμματιστής: {0}
005	Έκδοση ανάπτυξης
006	Σας αρέσει το CSV Visual Editor; Υποστηρίξτε το έργο.\nΠροσθέστε ένα αστέρι στο GitHub, στείλτε σχόλια ή επικοινωνήστε με τον προγραμματιστή για να συνεισφέρετε. Ευχαριστούμε!
007	Γλώσσα διεπαφής: {0}
008	Δεν ήταν δυνατό το άνοιγμα συσχετισμένης εφαρμογής. Επικοινωνία: {0}
009	Το έργο στο GitHub
010	Έκδοση: {0}
011	Έκδοση και μεταγλώττιση
012	Η ενέργεια {0} αποκλείστηκε επειδή άλλαξε το μοντέλο εκκρεμών αλλαγών. Δεν διατηρήθηκε καμία μερική αλλαγή.
013	Η ενέργεια {0} αποκλείστηκε: τα ορθογώνια του προχείρου και της επιλογής έχουν διαφορετικές διαστάσεις.
014	Η ενέργεια {0} αποκλείστηκε: το ορθογώνιο προορισμού υπερβαίνει τα όρια του πίνακα CSV.
015	Η ενέργεια {0} αποκλείστηκε: δεν υπάρχει επεξεργάσιμο ορθογώνιο προορισμού.
016	Αντιγράφηκαν {0} × {1} κελιά CSV.
017	Η αντιγραφή/αποκοπή αποκλείστηκε: ένα επιλεγμένο κελί περιέχει στηλοθέτη ή αλλαγή γραμμής που δεν μπορεί να αναπαρασταθεί με σαφήνεια ως απλό κείμενο υπολογιστικού φύλλου.
018	Η αντιγραφή απαιτεί κελιά CSV, όχι επιλογή ολόκληρων γραμμών για διαγραφή.
019	Η αντιγραφή απαιτεί μία συνεχόμενη ορθογώνια επιλογή κελιών δεδομένων CSV.
020	Αποκόπηκαν {0} κελιά στο πρόχειρο και αδειάστηκαν στην εκκρεμή συνεδρία επεξεργασίας. Η «Εφαρμογή» γράφει το άδειασμα στο Notepad++.
021	Η αποκοπή ολοκληρώθηκε· τα επιλεγμένα κελιά ήταν ήδη κενά. Το πρόχειρο περιέχει τις αρχικές τιμές τους.
022	Η ενέργεια {0} είναι διαθέσιμη μόνο στη λειτουργία επεξεργασίας.
023	Η ενέργεια {0} δεν είναι διαθέσιμη για τον τρέχοντα πίνακα.
024	Η επικόλληση αποκλείστηκε: {0} Δεν άλλαξαν δεδομένα.
