# language: de
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	Ein visueller CSV-Editor für Notepad++
001	Über CSV Visual Editor
002	Kontakt: {0}
003	Entwickler {0} kontaktieren
004	Entwickler: {0}
005	Entwicklungsversion
006	Gefällt Ihnen CSV Visual Editor? Unterstützen Sie das Projekt.\nVergeben Sie einen Stern auf GitHub, teilen Sie Ihr Feedback oder kontaktieren Sie den Entwickler, um mitzuarbeiten. Vielen Dank!
007	Oberflächensprache: {0}
008	Keine zugeordnete Anwendung konnte geöffnet werden. Kontakt: {0}
009	Projekt auf GitHub
010	Version: {0}
011	Version und Build
012	{0} wurde blockiert, weil sich das Modell der ausstehenden Änderungen geändert hat. Es wurden keine Teiländerungen beibehalten.
013	{0} blockiert: Zwischenablage und ausgewählte Rechtecke haben unterschiedliche Abmessungen.
014	{0} blockiert: Das Zielrechteck reicht über die CSV-Tabelle hinaus.
015	{0} blockiert: Es gibt kein bearbeitbares Zielrechteck.
016	{0} × {1} CSV-Zellen kopiert.
017	Kopieren/Ausschneiden blockiert: Eine ausgewählte Zelle enthält einen Tabulator oder Zeilenumbruch, der als einfacher Tabellenkalkulationstext nicht eindeutig dargestellt werden kann.
018	Zum Kopieren müssen CSV-Zellen ausgewählt sein, nicht ganze Zeilen zum Löschen.
019	Zum Kopieren muss ein zusammenhängendes Rechteck aus CSV-Datenzellen ausgewählt sein.
020	{0} Zellen in die Zwischenablage ausgeschnitten und in der ausstehenden Bearbeitung geleert. „Anwenden“ überträgt die Leerung nach Notepad++.
021	Ausschneiden abgeschlossen; die ausgewählten Zellen waren bereits leer. Die Zwischenablage enthält ihre ursprünglichen Werte.
022	{0} ist nur im Bearbeitungsmodus verfügbar.
023	{0} ist für die aktuelle Tabelle nicht verfügbar.
024	Einfügen blockiert: {0} Es wurden keine Daten geändert.
025	Einfügen abgeschlossen; alle Zielwerte waren bereits identisch.
026	{0} geänderte Zellen in die ausstehende Bearbeitung eingefügt. „Anwenden“ überträgt sie nach Notepad++.
027	Für {0} ist ein Rechteck aus CSV-Zellen erforderlich, keine Auswahl ganzer Zeilen zum Löschen.
028	Für {0} muss ein zusammenhängendes Rechteck aus CSV-Datenzellen ausgewählt sein.
029	Die Ziele für {0} sind außerhalb des stabilen Zeilenmodells im Bearbeitungsmodus nicht verfügbar.
030	Die Bearbeitung der aktiven Zelle konnte vor dem Kopieren nicht übernommen werden.
031	Die Bearbeitung der aktiven Zelle konnte nicht übernommen werden. Korrigieren Sie den Wert vor {0}.
032	Die Zwischenablage enthält keine Zellen als einfachen Text.
033	Die Windows-Zwischenablage ist vorübergehend nicht verfügbar. Es wurden keine Daten geändert.
034	Das ausgewählte Rechteck aus CSV-Zellen in die Windows-Zwischenablage kopieren (Ctrl+C)
