# language: ko
# source-fingerprint: b8da12c841cc40f32c498cbf7bb47a6c16bed241b42b4a4f4a0e78d32f2eb499
000	Notepad++용 시각적 CSV 편집기
001	CSV Visual Editor 정보
002	연락처: {0}
003	개발자 {0}에게 연락
004	개발자: {0}
005	개발 버전
006	CSV Visual Editor가 유용한가요? 프로젝트를 지원해 주세요.\nGitHub에서 별을 추가하거나 의견을 보내거나 개발자에게 기여 방법을 문의해 주세요. 감사합니다!
007	인터페이스 언어: {0}
008	연결된 앱을 열 수 없습니다. 연락처: {0}
009	GitHub 프로젝트
010	버전: {0}
011	버전 및 빌드
012	대기 중인 편집 모델이 변경되어 {0} 작업이 차단되었습니다. 부분 변경은 유지되지 않았습니다.
013	{0} 작업이 차단되었습니다. 클립보드와 선택한 사각형의 크기가 다릅니다.
014	{0} 작업이 차단되었습니다. 대상 사각형이 CSV 표의 범위를 벗어납니다.
015	{0} 작업이 차단되었습니다. 편집 가능한 대상 사각형이 없습니다.
016	CSV 셀 {0} × {1}개를 복사했습니다.
017	복사/잘라내기가 차단되었습니다. 선택한 셀에 탭 또는 줄 바꿈이 있어 일반 스프레드시트 텍스트로 명확하게 표현할 수 없습니다.
018	복사하려면 CSV 셀을 선택해야 합니다. 삭제용 전체 행 선택은 사용할 수 없습니다.
019	복사하려면 연속된 사각형 CSV 데이터 셀 범위를 선택해야 합니다.
020	셀 {0}개를 클립보드로 잘라내고 대기 중인 편집 세션에서 비웠습니다. 적용을 누르면 비우기 변경을 Notepad++에 기록합니다.
021	잘라내기가 완료되었습니다. 선택한 셀은 이미 비어 있었습니다. 클립보드에는 원래 값이 들어 있습니다.
022	{0} 작업은 편집 모드에서만 사용할 수 있습니다.
023	현재 표에서는 {0} 작업을 사용할 수 없습니다.
024	붙여넣기가 차단되었습니다: {0} 데이터는 변경되지 않았습니다.
025	붙여넣기가 완료되었습니다. 모든 대상 값이 이미 같았습니다.
026	변경된 셀 {0}개를 대기 중인 편집 세션에 붙여넣었습니다. 적용을 누르면 Notepad++에 기록합니다.
027	{0} 작업에는 CSV 셀 사각형이 필요합니다. 삭제용 전체 행 선택은 사용할 수 없습니다.
028	{0} 작업에는 연속된 사각형 CSV 데이터 셀 범위가 필요합니다.
029	안정된 편집 모드 행 모델 밖에서는 {0} 작업의 대상을 사용할 수 없습니다.
030	복사 전에 활성 셀의 편집을 확정할 수 없습니다.
031	활성 셀의 편집을 확정할 수 없습니다. {0} 작업 전에 값을 수정하세요.
032	클립보드에 일반 텍스트 셀이 없습니다.
033	Windows 클립보드를 일시적으로 사용할 수 없습니다. 데이터는 변경되지 않았습니다.
034	선택한 사각형 CSV 셀 범위를 Windows 클립보드에 복사 (Ctrl+C)
035	선택한 CSV 셀을 복사하고 대기 중인 편집 세션에서 비우기 (Ctrl+X)
036	스프레드시트 셀을 선택한 CSV 셀 또는 사각형에 붙여넣기 (Ctrl+V)
037	대기 중인 CSV 편집에서 텍스트 바꾸기, 앞뒤 공백 제거 또는 대소문자 변환 미리 보기
038	현재 CSV 셀 또는 행을 Notepad++ 원본 버퍼에서 선택
039	원본
040	변환
041	정보
042	적용
043	오름차순
044	취소
045	닫기
046	열
047	복사
048	잘라내기
049	내림차순
050	편집
051	편집 종료
052	대소문자 구분
053	숫자
054	원래 순서
055	붙여넣기
056	미리 보기
057	새로 고침
058	행
059	표
060	텍스트
061	값
062	열 요약: 현재 보기의 개수, 고유 값, 숫자 범위 및 자주 나타나는 값을 표시합니다.
063	열 요약에는 준비된 읽기 전용 표가 필요합니다. 먼저 편집 모드를 종료하세요.
064	필터 및 정렬: 열 규칙과 텍스트/숫자 정렬 단계를 결합합니다. 보기만 변경되며 CSV는 그대로입니다.
065	필터 및 정렬: 열 규칙과 최대 3단계의 텍스트/숫자 정렬을 결합합니다. 보기만 변경됩니다.
066	필터 및 정렬: 조건 {0}개, 정렬 {1}단계. 보기 초기화로 모든 규칙을 지웁니다.
067	필터 및 정렬에는 준비된 읽기 전용 표가 필요합니다. 먼저 편집 모드를 종료하세요.
068	진단 (0)
069	변경 0개
070	조건 추가
071	정렬 단계 추가
072	보기 적용
073	대소문자
074	대소문자를 구분하여 텍스트를 비교합니다. 값의 공백도 그대로 비교합니다.
075	규칙을 확인하세요: {0}
